key              corpus     median      q25      q75      min      max     CV
t_leftvar        CT_BOT     0.0226   0.0019   0.0383   0.0008   0.2457   1.60  n=8

t_on_matte       ALL        0.0391   0.0000   0.9774   0.0000   1.0000   1.14  n=37
t_on_matte       AUDIT      0.0000   0.0000   0.0000   0.0000   0.0000   0.00  n=12
t_on_matte       CT         0.7983   0.0391   0.9905   0.0000   1.0000   0.74  n=25
t_on_matte       CT_TOP     0.8805   0.1062   0.9856   0.0000   1.0000   0.67  n=15
t_on_matte       CT_BOT     0.6530   0.0076   0.9998   0.0000   1.0000   0.85  n=10

t_face_gap       ALL        0.0507   0.0201   0.0982   0.0000   0.2407   0.88  n=37
t_face_gap       AUDIT      0.0820   0.0378   0.1119   0.0171   0.2407   0.69  n=12
t_face_gap       CT         0.0415   0.0116   0.0764   0.0000   0.1680   0.97  n=25
t_face_gap       CT_TOP     0.0229   0.0047   0.0656   0.0000   0.1630   1.08  n=15
t_face_gap       CT_BOT     0.0482   0.0297   0.1122   0.0000   0.1680   0.79  n=10

t_on_face        ALL        0.0000   0.0000   0.0000   0.0000   0.0164   5.48  n=37
t_on_face        AUDIT      0.0000   0.0000   0.0000   0.0000   0.0000   0.00  n=12
t_on_face        CT         0.0000   0.0000   0.0000   0.0000   0.0164   4.47  n=25
t_on_face        CT_TOP     0.0000   0.0000   0.0000   0.0000   0.0016   3.74  n=15
t_on_face        CT_BOT     0.0000   0.0000   0.0000   0.0000   0.0164   3.00  n=10

t_on_person      ALL        0.0391   0.0000   0.9774   0.0000   1.0000   1.14  n=37
t_on_person      AUDIT      0.0000   0.0000   0.0000   0.0000   0.0000   0.00  n=12
t_on_person      CT         0.7983   0.0391   0.9905   0.0000   1.0000   0.74  n=25
t_on_person      CT_TOP     0.8805   0.1062   0.9856   0.0000   1.0000   0.67  n=15
t_on_person      CT_BOT     0.6530   0.0076   0.9998   0.0000   1.0000   0.85  n=10

a_area           ALL        0.0080   0.0043   0.0115   0.0033   0.0243   0.57  n=22
a_area           AUDIT      0.0042   0.0037   0.0043   0.0033   0.0065   0.21  n=9
a_area           CT         0.0115   0.0086   0.0120   0.0063   0.0243   0.38  n=13
a_area           CT_TOP     0.0115   0.0100   0.0119   0.0078   0.0243   0.42  n=6
a_area           CT_BOT     0.0094   0.0084   0.0117   0.0063   0.0126   0.22  n=7

a_cx             ALL        0.4816   0.3721   0.5528   0.2332   0.8104   0.31  n=22
a_cx             AUDIT      0.3691   0.2953   0.5644   0.2332   0.7251   0.39  n=9
a_cx             CT         0.4992   0.4622   0.5181   0.2383   0.8104   0.24  n=13
a_cx             CT_TOP     0.4870   0.4475   0.5583   0.2383   0.5978   0.25  n=6
a_cx             CT_BOT     0.4992   0.4816   0.5098   0.4622   0.8104   0.21  n=7

a_cy             ALL        0.3863   0.3082   0.4505   0.1008   0.6320   0.37  n=22
a_cy             AUDIT      0.3383   0.3133   0.4164   0.2564   0.4810   0.19  n=9
a_cy             CT         0.4070   0.2529   0.5775   0.1008   0.6320   0.44  n=13
a_cy             CT_TOP     0.3205   0.1356   0.5368   0.1008   0.6320   0.62  n=6
a_cy             CT_BOT     0.4111   0.3638   0.5051   0.2529   0.5990   0.27  n=7

a_tipx           ALL        0.5226   0.3505   0.5881   0.1914   0.7556   0.33  n=22
a_tipx           AUDIT      0.3400   0.2603   0.5995   0.1914   0.7556   0.47  n=9
a_tipx           CT         0.5398   0.4771   0.5777   0.2886   0.7455   0.21  n=13
a_tipx           CT_TOP     0.5005   0.4060   0.5746   0.2886   0.6443   0.25  n=6
a_tipx           CT_BOT     0.5468   0.5306   0.5716   0.4376   0.7455   0.15  n=7

a_tipy           ALL        0.4430   0.3121   0.4892   0.1432   0.7308   0.35  n=22
a_tipy           AUDIT      0.3637   0.3438   0.4700   0.2809   0.5108   0.20  n=9
a_tipy           CT         0.4510   0.2934   0.4947   0.1432   0.7308   0.42  n=13
a_tipy           CT_TOP     0.3907   0.1882   0.6111   0.1432   0.7308   0.56  n=6
a_tipy           CT_BOT     0.4510   0.3691   0.4836   0.2542   0.5627   0.24  n=7

a_aim_err_deg    ALL       24.6878  13.9090  48.8319   5.3261 171.8198   1.04  n=22
a_aim_err_deg    AUDIT     15.9947  13.4239 138.1749   5.3261 171.8198   1.11  n=9
a_aim_err_deg    CT        32.6342  18.0136  43.9592   7.0326 117.8342   0.76  n=13
a_aim_err_deg    CT_TOP    39.5092  19.0031  43.6643  12.2830 117.8342   0.79  n=6
a_aim_err_deg    CT_BOT    29.2655  19.0619  41.5452   7.0326  78.1234   0.66  n=7

a_tip_face_d     ALL        0.2213   0.1448   0.3856   0.0496   0.6570   0.65  n=22
a_tip_face_d     AUDIT      0.1438   0.0744   0.4452   0.0496   0.6292   0.80  n=9
a_tip_face_d     CT         0.2448   0.1839   0.2910   0.1074   0.6570   0.52  n=13
a_tip_face_d     CT_TOP     0.2487   0.1805   0.3209   0.1478   0.6570   0.57  n=6
a_tip_face_d     CT_BOT     0.1977   0.1869   0.2889   0.1074   0.3996   0.38  n=7

a_text_gap       ALL        0.0660   0.0326   0.1463   0.0000   0.2531   0.82  n=22
a_text_gap       AUDIT      0.0773   0.0570   0.0891   0.0461   0.1838   0.47  n=9
a_text_gap       CT         0.0656   0.0078   0.1539   0.0000   0.2531   0.99  n=13
a_text_gap       CT_TOP     0.0336   0.0002   0.1314   0.0000   0.2531   1.21  n=6
a_text_gap       CT_BOT     0.0656   0.0258   0.1680   0.0078   0.2144   0.82  n=7

a_bbox_on_matte  ALL        0.0000   0.0000   0.3815   0.0000   0.7784   1.63  n=22
a_bbox_on_matte  AUDIT      0.0000   0.0000   0.0000   0.0000   0.6029   2.83  n=9
a_bbox_on_matte  CT         0.0152   0.0000   0.5690   0.0000   0.7784   1.27  n=13
a_bbox_on_matte  CT_TOP     0.0104   0.0000   0.3815   0.0000   0.6479   1.39  n=6
a_bbox_on_matte  CT_BOT     0.0152   0.0018   0.6503   0.0000   0.7784   1.15  n=7

a_on_person_px   ALL        0.0000   0.0000   0.1862   0.0000   1.0000   1.74  n=22
